Age,Sex,Credit_Score,Income,Loan_Amount,Employment_Years,Existing_Loans,Loan_Approved
57,Female,718,64770,28549,27,1,No
37,Male,746,54616,46796,21,3,Yes
42,Male,744,99502,26035,2,1,Yes
54,Female,672,45956,7802,2,1,No
57,Male,711,46930,25862,18,2,Yes
43,Female,574,42430,25419,27,2,No
28,Female,708,61957,29304,23,2,Yes
42,Male,711,65607,13338,25,1,Yes
22,Male,630,76613,46530,2,2,Yes
42,Male,601,54026,11761,13,3,No
55,Female,655,26860,12447,12,1,No
43,Male,568,63807,39951,5,3,No
24,Male,685,75605,14710,2,0,Yes
33,Female,682,58645,11397,27,1,No
33,Female,588,55671,27800,27,3,Yes
58,Male,663,68198,48832,19,3,Yes
30,Male,740,83860,12452,19,0,Yes
29,Male,739,56882,37606,12,2,No
29,Male,735,32509,30863,26,2,Yes
43,Male,648,47911,15346,25,1,Yes
41,Male,634,55084,47215,0,2,No
61,Female,630,25649,37507,8,1,Yes
44,Male,704,71912,22103,8,3,No
57,Male,836,44244,23474,20,2,Yes
39,Male,765,67199,5613,20,1,Yes
55,Male,778,61555,41670,21,2,No
30,Female,761,52447,32146,27,2,No
37,Male,539,87349,46768,17,0,Yes
32,Female,644,47934,28740,1,2,Yes
40,Female,627,45931,9675,14,1,No
49,Male,753,63306,22103,26,3,Yes
39,Male,786,73140,12729,8,0,Yes
48,Female,610,57992,26480,29,2,Yes
61,Female,662,40345,30620,14,2,Yes
22,Male,701,70468,47318,16,1,Yes
30,Female,623,68891,23708,15,0,Yes
35,Male,612,95368,35269,20,2,Yes
46,Female,609,54047,29872,13,2,Yes
34,Female,726,61859,29369,29,1,Yes
56,Female,591,47810,43901,13,2,No
25,Female,745,31232,13036,18,1,Yes
54,Female,666,59364,17934,8,1,No
48,Male,716,73323,14050,10,0,No
39,Male,775,39773,41798,2,0,Yes
33,Male,609,45862,12306,17,1,No
23,Female,598,36852,10315,0,0,No
59,Male,692,82146,23550,24,2,Yes
59,Female,582,46613,19219,4,2,Yes
31,Male,605,68444,35675,25,0,Yes
49,Female,651,42440,41141,8,1,Yes
41,Male,671,59360,32895,25,3,Yes
42,Male,566,46745,5992,14,0,No
24,Male,631,15745,6571,25,0,Yes
30,Male,703,59401,13261,11,0,Yes
42,Male,760,67500,16179,6,0,No
32,Female,513,20491,10286,28,0,No
54,Male,757,54859,37061,10,3,No
24,Female,725,50214,25931,28,1,No
44,Male,578,38591,24483,18,3,No
25,Male,549,53476,46166,26,1,Yes
63,Female,691,23086,38336,14,0,Yes
50,Male,628,62511,10252,16,1,Yes
37,Male,670,79348,20155,1,3,No
60,Female,724,35289,15110,17,1,Yes
31,Male,632,56822,38492,9,2,Yes
63,Female,672,83656,38805,8,2,No
63,Male,695,60203,33850,8,0,Yes
58,Male,726,48665,25340,22,3,No
62,Female,791,41609,16989,23,3,No
34,Male,787,61201,28867,27,2,Yes
56,Male,678,55612,9435,12,2,No
58,Female,642,69368,14770,4,2,No
44,Female,837,30634,25750,26,2,No
27,Male,707,77386,28264,21,2,Yes
37,Male,691,50735,19137,25,1,Yes
25,Female,577,69566,35445,1,1,Yes
59,Male,718,44995,16193,2,2,No
44,Female,602,34636,8994,5,1,Yes
36,Male,625,47793,9377,2,0,Yes
58,Male,560,40821,17054,28,1,Yes
41,Male,621,51255,49041,6,3,No
59,Female,664,69661,22312,10,0,Yes
45,Female,548,77417,7444,6,1,No
27,Female,593,61664,47464,26,0,No
46,Female,654,48270,27463,14,3,No
33,Female,565,49876,23317,23,2,No
48,Female,566,68660,32321,10,3,No
56,Male,597,78452,7263,13,0,Yes
38,Female,555,52184,5291,14,2,No
63,Male,705,55740,5935,10,1,Yes
41,Male,585,44470,5872,25,3,Yes
56,Male,717,61722,10236,8,1,No
32,Female,729,75223,29898,28,2,Yes
26,Female,570,15000,13027,3,2,No
25,Male,663,62598,12923,10,2,No
26,Female,624,48087,16956,8,2,No
62,Male,575,16098,23843,22,0,No
29,Male,635,63645,44376,12,3,Yes
64,Female,641,56388,17772,13,2,No
24,Female,713,64648,43559,28,2,No
61,Male,736,33411,15021,25,3,No
32,Male,577,96468,43693,20,3,Yes
30,Female,629,59991,16943,18,1,No
51,Female,699,51824,13557,15,2,No
26,Female,748,85435,36731,21,2,Yes
22,Male,477,69741,25715,11,2,Yes
45,Female,755,72991,19843,26,3,Yes
42,Female,647,78938,18597,10,1,No
51,Female,774,20711,10260,6,1,Yes
53,Male,628,88047,22800,18,3,No
64,Female,597,51748,42298,20,2,No
44,Male,663,63138,23823,2,3,No
52,Male,747,74610,40277,19,2,Yes
22,Male,662,45178,24589,17,2,No
56,Female,483,63722,31590,3,0,Yes
42,Female,711,71731,29251,9,1,Yes
37,Male,539,57246,10748,21,2,No
42,Female,586,66903,17354,3,3,No
39,Male,573,29093,14694,19,0,Yes
32,Male,522,36542,20904,29,3,No
22,Male,566,37296,22983,4,0,Yes
22,Male,586,64679,41134,4,2,Yes
56,Male,614,125372,35846,9,2,Yes
57,Female,656,62730,13317,22,0,Yes
50,Female,634,55338,7133,17,0,No
63,Female,548,56839,41554,11,3,Yes
57,Female,646,75699,18042,9,2,Yes
43,Male,732,70850,21880,18,2,No
60,Female,731,37358,12413,14,2,Yes
46,Female,670,76306,43020,15,0,Yes
44,Female,706,57569,45383,7,2,No
45,Male,726,72742,49590,26,3,Yes
50,Female,762,22018,37944,12,1,Yes
33,Male,787,30015,45706,12,3,Yes
33,Male,635,68743,49168,1,1,Yes
44,Female,639,25587,10022,4,0,Yes
50,Male,770,65015,21317,29,0,No
58,Male,777,64086,23286,14,2,No
24,Female,775,60622,39136,14,0,No
51,Female,484,64399,32922,17,3,Yes
61,Female,643,62779,17605,27,2,Yes
63,Female,415,66053,13174,8,0,Yes
64,Female,714,50686,49911,14,2,No
30,Male,664,57606,34298,22,2,Yes
60,Male,663,110728,20051,11,0,Yes
48,Male,649,78464,17979,8,0,No
39,Male,757,69018,18171,0,3,No
38,Female,638,65061,21759,13,3,No
29,Female,737,44903,8735,28,0,Yes
26,Male,701,62082,37460,10,0,No
25,Female,686,53555,11072,17,0,No
45,Female,694,75029,30354,28,0,Yes
50,Female,668,41527,47598,11,3,No
58,Male,577,15465,47593,15,2,No
53,Male,713,47912,42322,29,0,Yes
62,Female,713,70541,28677,23,3,Yes
43,Female,649,102258,25570,14,1,Yes
22,Male,714,76456,27081,10,2,Yes
50,Male,727,40385,14935,14,2,No
29,Male,563,54057,43333,2,0,Yes
48,Female,649,40883,26342,1,2,No
27,Female,626,54638,14332,23,2,Yes
34,Female,592,41848,20983,18,0,No
23,Female,684,28407,18453,26,2,No
43,Male,596,66002,16372,15,0,Yes
47,Female,627,61522,19137,13,0,No
47,Male,678,54926,32903,16,0,Yes
43,Female,686,64232,48322,13,1,No
60,Male,684,94599,9212,16,1,No
59,Male,827,60107,7145,15,2,Yes
47,Female,622,51188,41318,12,0,No
26,Male,678,73591,12922,12,2,No
51,Female,569,28446,13475,3,2,No
44,Female,696,71565,38186,26,0,Yes
54,Male,746,44057,16720,14,3,Yes
44,Male,751,43299,19705,12,1,Yes
56,Male,612,59979,43469,11,0,Yes
32,Female,639,88102,43800,18,2,Yes
35,Female,754,44581,32978,24,3,No
57,Male,652,75144,20376,6,0,Yes
55,Male,731,64800,26856,8,1,Yes
60,Female,587,32963,15386,3,1,No
61,Male,763,74492,20567,8,2,Yes
38,Female,737,43128,37082,0,0,No
26,Female,694,31536,24024,8,0,No
45,Male,600,43753,49058,3,1,No
22,Female,648,44912,41904,21,0,Yes
40,Male,671,68656,25968,16,3,No
31,Male,679,44825,40215,1,1,Yes
28,Female,652,84882,18258,29,1,Yes
39,Male,643,61981,20197,4,2,No
24,Male,674,45066,6745,8,1,Yes
36,Male,764,42979,14709,22,3,Yes
24,Male,509,62101,16392,29,2,Yes
53,Male,557,21466,39075,25,1,Yes
30,Female,544,18818,30545,19,0,Yes
35,Male,608,42073,13302,13,2,No
50,Male,529,69333,12634,12,0,No
63,Male,701,61224,28660,1,1,No
48,Male,667,58391,12673,20,3,Yes
61,Female,640,54149,16442,19,0,Yes
40,Female,608,18803,13632,5,2,No
42,Male,671,52146,49611,13,0,Yes
45,Male,673,26048,10016,14,1,No
50,Female,684,73030,13698,0,1,Yes
50,Female,605,57842,17627,0,1,No
37,Male,708,56382,38222,12,1,No
55,Male,549,65179,9771,29,2,Yes
22,Female,753,63810,15769,29,1,Yes
23,Male,429,62183,35680,3,0,Yes
46,Female,615,64262,16355,26,1,Yes
61,Female,569,47396,37909,24,0,No
58,Male,719,33962,9693,29,3,Yes
64,Male,548,64146,33839,15,3,No
